league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type
GER-Bundesliga,2020,Stuttgart,Sasa Kalajdzic,AUT,FW,23,1997,33,23,2136,23.7,16,5,21,16,0,0,1,0,10.4,10.4,3.7,14.0,18,46,166,0.67,0.21,0.88,0.67,0.88,0.44,0.15,0.59,0.44,0.59,standard
GER-Bundesliga,2020,Stuttgart,Silas Katompa,COD,"DF,FW",21,1998,25,24,1919,21.3,11,4,15,8,3,3,6,0,7.3,5.0,4.4,9.4,74,33,165,0.52,0.19,0.7,0.38,0.56,0.34,0.21,0.55,0.23,0.44,standard
GER-Bundesliga,2020,Stuttgart,Tanguy Coulibaly,FRA,"DF,FW",19,2001,31,17,1506,16.7,2,1,3,2,0,0,2,0,2.8,2.8,2.6,5.4,46,29,149,0.12,0.06,0.18,0.12,0.18,0.16,0.16,0.32,0.16,0.32,standard
GER-Bundesliga,2020,Stuttgart,Waldemar Anton,GER,DF,24,1996,31,30,2711,30.1,0,1,1,0,0,0,3,0,1.3,1.3,0.9,2.2,24,116,12,0.0,0.03,0.03,0.0,0.03,0.04,0.03,0.07,0.04,0.07,standard
GER-Bundesliga,2020,Stuttgart,Wataru Endo,JPN,MF,27,1993,33,33,2955,32.8,3,3,6,3,0,0,5,0,2.6,2.6,1.8,4.4,35,187,39,0.09,0.09,0.18,0.09,0.18,0.08,0.06,0.13,0.08,0.13,standard
GER-Bundesliga,2020,Union Berlin,Akaki Gogia,GER,"FW,MF",28,1992,7,0,140,1.6,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,5,7,17,0.0,0.64,0.64,0.0,0.64,0.07,0.33,0.39,0.07,0.39,standard
GER-Bundesliga,2020,Union Berlin,Andreas Luthe,GER,GK,33,1987,31,31,2768,30.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2020,Union Berlin,Cedric Teuchert,GER,"FW,MF",23,1997,24,5,754,8.4,3,1,4,3,0,0,2,0,3.7,3.7,0.7,4.4,23,17,32,0.36,0.12,0.48,0.36,0.48,0.44,0.08,0.52,0.44,0.52,standard
GER-Bundesliga,2020,Union Berlin,Christian Gentner,GER,MF,34,1985,22,13,1033,11.5,0,0,0,0,0,0,0,0,0.4,0.4,0.8,1.3,8,45,24,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,standard
GER-Bundesliga,2020,Union Berlin,Christopher Lenz,GER,"DF,FW",25,1994,27,27,2248,25.0,0,3,3,0,0,0,3,0,1.0,1.0,2.8,3.8,46,94,109,0.0,0.12,0.12,0.0,0.12,0.04,0.11,0.15,0.04,0.15,standard
GER-Bundesliga,2020,Union Berlin,Christopher Trimmel,AUT,"DF,FW",33,1987,31,30,2572,28.6,1,9,10,1,0,0,9,0,0.3,0.3,5.9,6.3,47,85,78,0.03,0.31,0.35,0.03,0.35,0.01,0.21,0.22,0.01,0.22,standard
GER-Bundesliga,2020,Union Berlin,Florian Hübner,GER,DF,29,1991,6,6,525,5.8,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.2,2,17,2,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,standard
GER-Bundesliga,2020,Union Berlin,Grischa Prömel,GER,MF,25,1995,24,21,1816,20.2,3,1,4,3,0,0,7,0,1.8,1.8,1.0,2.7,18,66,33,0.15,0.05,0.2,0.15,0.2,0.09,0.05,0.14,0.09,0.14,standard
GER-Bundesliga,2020,Union Berlin,Joel Pohjanpalo,FIN,FW,25,1994,19,10,851,9.5,6,0,6,6,0,0,0,0,6.6,6.6,1.2,7.8,6,26,39,0.63,0.0,0.63,0.63,0.63,0.7,0.13,0.83,0.7,0.83,standard
GER-Bundesliga,2020,Union Berlin,Joshua Mees,GER,FW,24,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.0,0.0,0.0,0.0,0.0,2.41,0.0,2.41,2.41,2.41,standard
GER-Bundesliga,2020,Union Berlin,Julian Ryerson,NOR,"DF,MF",22,1997,24,10,1069,11.9,0,2,2,0,0,0,2,0,0.2,0.2,0.9,1.1,15,32,38,0.0,0.17,0.17,0.0,0.17,0.02,0.07,0.1,0.02,0.1,standard
GER-Bundesliga,2020,Union Berlin,Keita Endo,JPN,"MF,FW",22,1997,16,4,456,5.1,1,0,1,1,0,0,0,0,1.4,1.4,1.9,3.3,16,7,33,0.2,0.0,0.2,0.2,0.2,0.28,0.37,0.64,0.28,0.64,standard
GER-Bundesliga,2020,Union Berlin,Leon Dajaku,GER,FW,19,2001,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2020,Union Berlin,Loris Karius,GER,GK,27,1993,4,3,292,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2020,Union Berlin,Marcus Ingvartsen,DEN,"MF,FW",24,1996,30,24,1963,21.8,3,5,8,3,0,1,4,0,4.0,3.2,2.1,5.3,29,53,107,0.14,0.23,0.37,0.14,0.37,0.18,0.09,0.28,0.15,0.24,standard
GER-Bundesliga,2020,Union Berlin,Marius Bülter,GER,"FW,MF",27,1993,26,8,977,10.9,1,0,1,1,0,0,1,0,1.5,1.5,0.9,2.4,24,17,71,0.09,0.0,0.09,0.09,0.09,0.14,0.08,0.22,0.14,0.22,standard
GER-Bundesliga,2020,Union Berlin,Marvin Friedrich,GER,DF,24,1995,34,34,3060,34.0,5,2,7,5,0,0,1,0,1.6,1.6,2.5,4.1,30,123,13,0.15,0.06,0.21,0.15,0.21,0.05,0.07,0.12,0.05,0.12,standard
GER-Bundesliga,2020,Union Berlin,Max Kruse,GER,"FW,MF",32,1988,22,19,1629,18.1,11,5,16,6,5,6,0,0,6.8,2.0,4.2,6.2,38,74,116,0.61,0.28,0.88,0.33,0.61,0.38,0.23,0.61,0.11,0.34,standard
GER-Bundesliga,2020,Union Berlin,Nico Schlotterbeck,GER,DF,20,1999,16,15,1285,14.3,1,0,1,1,0,0,4,1,2.3,2.3,0.6,2.9,23,74,5,0.07,0.0,0.07,0.07,0.07,0.16,0.04,0.2,0.16,0.2,standard
GER-Bundesliga,2020,Union Berlin,Niko Gießelmann,GER,DF,28,1991,13,4,430,4.8,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.4,5,23,24,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,standard
GER-Bundesliga,2020,Union Berlin,Petar Musa,CRO,FW,22,1998,14,8,715,7.9,1,3,4,1,0,0,2,0,3.2,3.2,1.0,4.2,5,10,46,0.13,0.38,0.5,0.13,0.5,0.41,0.12,0.53,0.41,0.53,standard
GER-Bundesliga,2020,Union Berlin,Robert Andrich,GER,MF,25,1994,29,29,2526,28.1,5,2,7,5,0,0,5,1,2.6,2.6,2.0,4.5,25,128,31,0.18,0.07,0.25,0.18,0.25,0.09,0.07,0.16,0.09,0.16,standard
GER-Bundesliga,2020,Union Berlin,Robin Knoche,GER,DF,28,1992,34,34,3042,33.8,1,0,1,1,0,0,4,0,1.3,1.3,0.2,1.5,16,102,2,0.03,0.0,0.03,0.03,0.03,0.04,0.01,0.04,0.04,0.04,standard
GER-Bundesliga,2020,Union Berlin,Sebastian Griesbeck,GER,MF,29,1990,24,8,890,9.9,0,0,0,0,0,0,3,0,0.5,0.5,0.0,0.5,3,20,24,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,standard
GER-Bundesliga,2020,Union Berlin,Sheraldo Becker,SUR,"FW,MF",25,1995,18,15,1106,12.3,3,3,6,3,0,0,2,0,1.5,1.5,3.1,4.6,61,22,87,0.24,0.24,0.49,0.24,0.49,0.12,0.25,0.37,0.12,0.37,standard
GER-Bundesliga,2020,Union Berlin,Taiwo Awoniyi,NGA,FW,22,1997,21,16,1359,15.1,5,2,7,5,0,0,0,0,6.1,6.1,1.3,7.4,19,16,108,0.33,0.13,0.46,0.33,0.46,0.4,0.08,0.49,0.4,0.49,standard
GER-Bundesliga,2020,Union Berlin,Tim Maciejewski,GER,FW,19,2001,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2020,Werder Bremen,Christian Groß,GER,"MF,DF",31,1989,23,17,1468,16.3,0,1,1,0,0,0,8,1,0.3,0.3,0.6,1.0,14,55,9,0.0,0.06,0.06,0.0,0.06,0.02,0.04,0.06,0.02,0.06,standard
GER-Bundesliga,2020,Werder Bremen,Davie Selke,GER,FW,25,1995,23,7,813,9.0,3,1,4,2,1,1,4,0,3.7,2.9,0.4,3.3,10,15,46,0.33,0.11,0.44,0.22,0.33,0.41,0.05,0.46,0.32,0.37,standard
GER-Bundesliga,2020,Werder Bremen,Davy Klaassen,NED,MF,27,1993,3,3,222,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,10,2,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,standard
GER-Bundesliga,2020,Werder Bremen,Eren Dinkçi,GER,"MF,FW",18,2001,8,1,108,1.2,1,0,1,1,0,0,0,1,0.5,0.5,0.2,0.7,2,4,5,0.83,0.0,0.83,0.83,0.83,0.43,0.17,0.6,0.43,0.6,standard
GER-Bundesliga,2020,Werder Bremen,Felix Agu,GER,DF,20,1999,15,8,701,7.8,1,0,1,1,0,0,0,0,0.6,0.6,0.5,1.1,7,9,33,0.13,0.0,0.13,0.13,0.13,0.08,0.06,0.14,0.08,0.14,standard
GER-Bundesliga,2020,Werder Bremen,Ilia Gruev,BUL,FW,20,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2020,Werder Bremen,Jean-Manuel Mbom,GER,"MF,DF",20,2000,21,15,1160,12.9,0,1,1,0,0,0,7,0,0.3,0.3,0.4,0.8,14,21,44,0.0,0.08,0.08,0.0,0.08,0.02,0.03,0.06,0.02,0.06,standard
GER-Bundesliga,2020,Werder Bremen,Jiří Pavlenka,CZE,GK,28,1992,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2020,Werder Bremen,Johannes Eggestein,GER,"FW,MF",22,1998,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,standard
GER-Bundesliga,2020,Werder Bremen,Josh Sargent,USA,"FW,MF",20,2000,32,30,2506,27.8,5,2,7,5,0,0,7,0,5.5,5.5,3.8,9.3,28,45,114,0.18,0.07,0.25,0.18,0.25,0.2,0.14,0.34,0.2,0.34,standard
GER-Bundesliga,2020,Werder Bremen,Kevin Möhwald,GER,MF,27,1993,27,17,1555,17.3,5,1,6,5,0,0,4,1,1.7,1.7,0.8,2.4,12,76,24,0.29,0.06,0.35,0.29,0.35,0.1,0.04,0.14,0.1,0.14,standard
GER-Bundesliga,2020,Werder Bremen,Leonardo Bittencourt,GER,"MF,FW",26,1993,27,19,1514,16.8,4,1,5,3,1,1,3,0,4.3,3.6,1.0,4.6,40,42,106,0.24,0.06,0.3,0.18,0.24,0.26,0.06,0.32,0.21,0.27,standard
GER-Bundesliga,2020,Werder Bremen,Ludwig Augustinsson,SWE,"DF,FW",26,1994,23,21,1957,21.7,0,4,4,0,0,0,4,0,0.9,0.9,2.7,3.6,38,60,108,0.0,0.18,0.18,0.0,0.18,0.04,0.13,0.17,0.04,0.17,standard
GER-Bundesliga,2020,Werder Bremen,Marco Friedl,AUT,DF,22,1998,32,31,2785,30.9,0,0,0,0,0,0,6,0,0.4,0.4,0.8,1.2,25,125,15,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,standard
GER-Bundesliga,2020,Werder Bremen,Maximilian Eggestein,GER,MF,23,1996,33,33,2942,32.7,2,5,7,2,0,0,5,0,1.0,1.0,3.3,4.3,45,192,68,0.06,0.15,0.21,0.06,0.21,0.03,0.1,0.13,0.03,0.13,standard
GER-Bundesliga,2020,Werder Bremen,Milot Rashica,KVX,"FW,MF",24,1996,24,14,1462,16.2,3,2,5,2,1,1,0,0,4.4,3.6,1.6,5.2,52,31,134,0.18,0.12,0.31,0.12,0.25,0.27,0.1,0.37,0.22,0.32,standard
GER-Bundesliga,2020,Werder Bremen,Miloš Veljković,SRB,DF,24,1995,23,19,1723,19.1,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,3,56,3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,standard
GER-Bundesliga,2020,Werder Bremen,Nick Woltemade,GER,"MF,FW",18,2002,6,1,147,1.6,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.5,4,6,10,0.0,0.61,0.61,0.0,0.61,0.2,0.09,0.29,0.2,0.29,standard
GER-Bundesliga,2020,Werder Bremen,Niclas Füllkrug,GER,FW,27,1993,19,10,877,9.7,6,0,6,4,2,2,1,0,5.0,3.5,0.2,3.7,9,22,68,0.62,0.0,0.62,0.41,0.41,0.52,0.02,0.54,0.35,0.38,standard
GER-Bundesliga,2020,Werder Bremen,Niklas Moisander,FIN,DF,34,1985,18,12,1222,13.6,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,14,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2020,Werder Bremen,Patrick Erras,GER,"FW,MF",25,1995,4,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,standard
GER-Bundesliga,2020,Werder Bremen,Philipp Bargfrede,GER,MF,31,1989,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2020,Werder Bremen,Romano Schmid,AUT,"MF,FW",20,2000,22,13,1177,13.1,0,3,3,0,0,0,2,0,0.7,0.7,1.3,2.0,19,57,63,0.0,0.23,0.23,0.0,0.23,0.05,0.1,0.15,0.05,0.15,standard
GER-Bundesliga,2020,Werder Bremen,Tahith Chong,NED,"MF,FW",20,1999,13,4,386,4.3,0,1,1,0,0,0,1,0,0.3,0.3,0.6,1.0,12,12,26,0.0,0.23,0.23,0.0,0.23,0.08,0.15,0.23,0.08,0.23,standard
GER-Bundesliga,2020,Werder Bremen,Theodor Gebre Selassie,CZE,DF,33,1986,34,34,3032,33.7,3,1,4,3,0,0,3,0,1.5,1.5,1.1,2.7,37,84,123,0.09,0.03,0.12,0.09,0.12,0.05,0.03,0.08,0.05,0.08,standard
GER-Bundesliga,2020,Werder Bremen,Yuya Osako,JPN,"MF,FW",30,1990,24,7,762,8.5,0,1,1,0,0,0,3,0,0.5,0.5,1.7,2.2,14,30,42,0.0,0.12,0.12,0.0,0.12,0.06,0.2,0.26,0.06,0.26,standard
GER-Bundesliga,2020,Werder Bremen,Ömer Toprak,TUR,DF,31,1989,26,24,1940,21.6,2,0,2,2,0,0,1,0,0.7,0.7,0.0,0.8,12,52,1,0.09,0.0,0.09,0.09,0.09,0.03,0.0,0.04,0.03,0.04,standard
GER-Bundesliga,2020,Wolfsburg,Admir Mehmedi,SUI,"MF,FW",29,1991,18,8,820,9.1,0,2,2,0,0,0,0,0,0.6,0.6,2.4,3.0,17,71,60,0.0,0.22,0.22,0.0,0.22,0.07,0.27,0.33,0.07,0.33,standard
GER-Bundesliga,2020,Wolfsburg,Bartosz Białek,POL,"FW,MF",18,2001,19,1,270,3.0,2,0,2,2,0,0,1,0,1.9,1.9,0.2,2.1,3,12,15,0.67,0.0,0.67,0.67,0.67,0.64,0.07,0.71,0.64,0.71,standard
GER-Bundesliga,2020,Wolfsburg,Daniel Ginczek,GER,"FW,MF",29,1991,11,1,215,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,2,9,14,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.13,0.07,0.13,standard
GER-Bundesliga,2020,Wolfsburg,Felix Klaus,GER,"DF,MF",27,1992,6,1,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,5,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,standard
GER-Bundesliga,2020,Wolfsburg,John Brooks,USA,DF,27,1993,32,31,2774,30.8,2,0,2,2,0,0,5,0,1.6,1.6,0.4,2.1,28,144,6,0.06,0.0,0.06,0.06,0.06,0.05,0.01,0.07,0.05,0.07,standard
GER-Bundesliga,2020,Wolfsburg,Josip Brekalo,CRO,FW,22,1998,29,22,1814,20.2,7,3,10,7,0,0,1,0,3.6,3.6,3.8,7.4,69,82,155,0.35,0.15,0.5,0.35,0.5,0.18,0.19,0.37,0.18,0.37,standard
GER-Bundesliga,2020,Wolfsburg,Josuha Guilavogui,FRA,"MF,DF",29,1990,20,7,747,8.3,0,1,1,0,0,0,3,0,0.4,0.4,0.7,1.0,2,39,7,0.0,0.12,0.12,0.0,0.12,0.05,0.08,0.12,0.05,0.12,standard
GER-Bundesliga,2020,Wolfsburg,Jérôme Roussillon,FRA,DF,27,1993,20,14,1229,13.7,0,2,2,0,0,0,0,0,0.8,0.8,1.7,2.5,35,43,69,0.0,0.15,0.15,0.0,0.15,0.06,0.12,0.18,0.06,0.18,standard
GER-Bundesliga,2020,Wolfsburg,Kevin Mbabu,SUI,DF,25,1995,22,19,1642,18.2,0,1,1,0,0,0,7,0,0.6,0.6,1.0,1.6,59,117,80,0.0,0.05,0.05,0.0,0.05,0.03,0.06,0.09,0.03,0.09,standard
GER-Bundesliga,2020,Wolfsburg,Koen Casteels,BEL,GK,28,1992,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2020,Wolfsburg,Marin Pongračić,CRO,DF,22,1997,10,7,575,6.4,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,2,20,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,standard
GER-Bundesliga,2020,Wolfsburg,Maxence Lacroix,FRA,DF,20,2000,30,29,2590,28.8,1,1,2,1,0,0,5,0,1.4,1.4,0.3,1.7,21,126,6,0.03,0.03,0.07,0.03,0.07,0.05,0.01,0.06,0.05,0.06,standard
GER-Bundesliga,2020,Wolfsburg,Maximilian Arnold,GER,MF,26,1994,30,30,2585,28.7,3,6,9,3,0,0,7,1,2.4,2.4,4.2,6.6,30,180,33,0.1,0.21,0.31,0.1,0.31,0.08,0.15,0.23,0.08,0.23,standard
GER-Bundesliga,2020,Wolfsburg,Maximilian Philipp,GER,MF,26,1994,24,13,1111,12.3,6,2,8,6,0,0,3,0,3.5,3.5,1.1,4.5,8,28,71,0.49,0.16,0.65,0.49,0.65,0.28,0.09,0.37,0.28,0.37,standard
GER-Bundesliga,2020,Wolfsburg,Omar Marmoush,EGY,FW,21,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2020,Wolfsburg,Paulo Otávio,BRA,DF,25,1994,23,19,1737,19.3,0,2,2,0,0,0,7,1,0.5,0.5,1.8,2.4,69,58,83,0.0,0.1,0.1,0.0,0.1,0.03,0.09,0.12,0.03,0.12,standard
GER-Bundesliga,2020,Wolfsburg,Pavao Pervan,AUT,GK,32,1987,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2020,Wolfsburg,Renato Steffen,SUI,"FW,MF",28,1991,21,19,1566,17.4,5,4,9,5,0,0,3,0,4.1,4.1,2.3,6.4,39,69,113,0.29,0.23,0.52,0.29,0.52,0.24,0.13,0.37,0.24,0.37,standard
GER-Bundesliga,2020,Wolfsburg,Ridle Baku,GER,"FW,DF",22,1998,32,31,2678,29.8,6,7,13,6,0,0,1,0,3.4,3.4,4.1,7.6,69,104,243,0.2,0.24,0.44,0.2,0.44,0.12,0.14,0.25,0.12,0.25,standard
GER-Bundesliga,2020,Wolfsburg,Tim Siersleben,GER,DF,20,2000,1,0,34,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,standard
GER-Bundesliga,2020,Wolfsburg,Victor Sá,BRA,FW,26,1994,21,3,469,5.2,1,1,2,1,0,0,0,0,0.5,0.5,1.1,1.6,20,15,66,0.19,0.19,0.38,0.19,0.38,0.09,0.22,0.31,0.09,0.31,standard
GER-Bundesliga,2020,Wolfsburg,William,BRA,"MF,FW",25,1995,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2020,Wolfsburg,Wout Weghorst,NED,FW,27,1992,34,33,2941,32.7,20,8,28,18,2,3,3,0,17.0,14.8,5.2,20.0,22,59,184,0.61,0.24,0.86,0.55,0.8,0.52,0.16,0.68,0.45,0.61,standard
GER-Bundesliga,2020,Wolfsburg,Xaver Schlager,AUT,MF,22,1997,32,30,2626,29.2,2,4,6,2,0,0,7,0,3.1,3.1,3.9,7.0,47,141,62,0.07,0.14,0.21,0.07,0.21,0.11,0.13,0.24,0.11,0.24,standard
GER-Bundesliga,2020,Wolfsburg,Yannick Gerhardt,GER,"MF,FW",26,1994,29,21,1936,21.5,2,4,6,2,0,0,3,0,3.9,3.9,3.4,7.3,51,74,107,0.09,0.19,0.28,0.09,0.28,0.18,0.16,0.34,0.18,0.34,standard
GER-Bundesliga,2020,Wolfsburg,Yunus Mallı,TUR,MF,28,1992,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,standard
