Saison,Équipe,Nom,Valeur marchande,Valeur marchande (euros)
"2020/2021,fc-southampton,Nathan Redmond,""18,00 mio. €"","
"2020/2021,fc-southampton,Mohamed Elyounoussi,""12,00 mio. €"","
"2020/2021,fc-southampton,Theo Walcott,""5,00 mio. €"","
"2020/2021,fc-southampton,Josh Sims,""1,20 mio. €"","
"2020/2021,fc-southampton,Danny Ings,""22,00 mio. €"","
"2020/2021,fc-southampton,Ché Adams,""20,00 mio. €"","
"2020/2021,fc-southampton,Michael Obafemi,""3,00 mio. €"","
"2020/2021,fc-southampton,Dan Nlundulu,""1,50 mio. €"","
"2020/2021,fc-southampton,Shane Long,""1,20 mio. €"","
"2020/2021,newcastle-united,Freddie Woodman,""10,00 mio. €"","
"2020/2021,newcastle-united,Martin Dúbravka,""5,00 mio. €"","
"2020/2021,newcastle-united,Karl Darlow,""3,00 mio. €"","
2020/2021,newcastle-united,Mark Gillespie,400 K €,
2020/2021,newcastle-united,Dan Langley,250 K €,
"2020/2021,newcastle-united,Jamaal Lascelles,""13,00 mio. €"","
"2020/2021,newcastle-united,Fabian Schär,""9,00 mio. €"","
"2020/2021,newcastle-united,Ciaran Clark,""3,00 mio. €"","
"2020/2021,newcastle-united,Federico Fernández,""3,00 mio. €"","
"2020/2021,newcastle-united,Jamal Lewis,""15,00 mio. €"","
"2020/2021,newcastle-united,Paul Dummett,""3,00 mio. €"","
"2020/2021,newcastle-united,DeAndre Yedlin,""5,00 mio. €"","
"2020/2021,newcastle-united,Emil Krafth,""3,50 mio. €"","
"2020/2021,newcastle-united,Javier Manquillo,""3,00 mio. €"","
"2020/2021,newcastle-united,Isaac Hayden,""10,00 mio. €"","
"2020/2021,newcastle-united,Dan Barlaser,""1,20 mio. €"","
"2020/2021,newcastle-united,Joelinton,""17,00 mio. €"","
"2020/2021,newcastle-united,Joe Willock,""16,00 mio. €"","
"2020/2021,newcastle-united,Sean Longstaff,""15,00 mio. €"","
"2020/2021,newcastle-united,Jonjo Shelvey,""13,00 mio. €"","
"2020/2021,newcastle-united,Jeff Hendrick,""9,00 mio. €"","
"2020/2021,newcastle-united,Matty Longstaff,""5,00 mio. €"","
2020/2021,newcastle-united,Elliot Anderson,200 K €,
"2020/2021,newcastle-united,Matt Ritchie,""3,00 mio. €"","
2020/2021,newcastle-united,Henri Saivet,800 K €,
"2020/2021,newcastle-united,Allan Saint-Maximin,""30,00 mio. €"","
"2020/2021,newcastle-united,Ryan Fraser,""10,00 mio. €"","
"2020/2021,newcastle-united,Christian Atsu,""1,50 mio. €"","
"2020/2021,newcastle-united,Miguel Almirón,""16,00 mio. €"","
"2020/2021,newcastle-united,Jacob Murphy,""4,00 mio. €"","
"2020/2021,newcastle-united,Callum Wilson,""22,00 mio. €"","
"2020/2021,newcastle-united,Dwight Gayle,""4,00 mio. €"","
"2020/2021,newcastle-united,Andy Carroll,""1,50 mio. €"","
"2020/2021,fc-fulham,Alphonse Areola,""17,00 mio. €"","
"2020/2021,fc-fulham,Marek Rodák,""5,00 mio. €"","
"2020/2021,fc-fulham,Marcus Bettinelli,""2,50 mio. €"","
2020/2021,fc-fulham,Fabri,600 K €,
"2020/2021,fc-fulham,Joachim Andersen,""22,00 mio. €"","
"2020/2021,fc-fulham,Tosin Adarabioyo,""12,00 mio. €"","
"2020/2021,fc-fulham,Alfie Mawson,""4,00 mio. €"","
"2020/2021,fc-fulham,Michael Hector,""3,50 mio. €"","
"2020/2021,fc-fulham,Terence Kongolo,""3,50 mio. €"","
"2020/2021,fc-fulham,Maxime Le Marchand,""1,50 mio. €"","
2020/2021,fc-fulham,Tim Ream,600 K €,
"2020/2021,fc-fulham,Antonee Robinson,""7,00 mio. €"","
"2020/2021,fc-fulham,Joe Bryan,""5,00 mio. €"","
"2020/2021,fc-fulham,Ola Aina,""6,00 mio. €"","
"2020/2021,fc-fulham,Kenny Tete,""5,00 mio. €"","
"2020/2021,fc-fulham,Steven Sessegnon,""2,00 mio. €"","
"2020/2021,fc-fulham,Cyrus Christie,""1,50 mio. €"","
2020/2021,fc-fulham,Denis Odoi,600 K €,
"2020/2021,fc-fulham,Mario Lemina,""10,00 mio. €"","
"2020/2021,fc-fulham,Jean Michaël Seri,""4,00 mio. €"","
2020/2021,fc-fulham,Kevin McDonald,800 K €,
"2020/2021,fc-fulham,Frank Anguissa,""25,00 mio. €"","
"2020/2021,fc-fulham,Ruben Loftus-Cheek,""18,00 mio. €"","
"2020/2021,fc-fulham,Harrison Reed,""10,00 mio. €"","
"2020/2021,fc-fulham,Tom Cairney,""9,00 mio. €"","
"2020/2021,fc-fulham,Josh Onomah,""6,00 mio. €"","
"2020/2021,fc-fulham,Stefan Johansen,""2,00 mio. €"","
2020/2021,fc-fulham,Tyrese Francois,150 K €,
2020/2021,fc-fulham,Fábio Carvalho,250 K €,
2020/2021,fc-fulham,Sylvester Jasper,250 K €,
"2020/2021,fc-fulham,Ivan Cavaleiro,""7,00 mio. €"","
"2020/2021,fc-fulham,Neeskens Kebano,""1,00 mio. €"","
"2020/2021,fc-fulham,Bobby De Cordova-Reid,""10,00 mio. €"","
"2020/2021,fc-fulham,Anthony Knockaert,""3,00 mio. €"","
"2020/2021,fc-fulham,Ademola Lookman,""11,00 mio. €"","
"2020/2021,fc-fulham,Aleksandar Mitrović,""16,00 mio. €"","
"2020/2021,fc-fulham,Josh Maja,""5,00 mio. €"","
"2020/2021,fc-fulham,Aboubakar Kamara,""2,00 mio. €"","
"2020/2021,leeds-united,Illan Meslier,""20,00 mio. €"","
2020/2021,leeds-united,Kiko Casilla,800 K €,
2020/2021,leeds-united,Elia Caprile,200 K €,
"2020/2021,leeds-united,Diego Llorente,""20,00 mio. €"","
"2020/2021,leeds-united,Robin Koch,""17,00 mio. €"","
"2020/2021,leeds-united,Pascal Struijk,""9,00 mio. €"","
"2020/2021,leeds-united,Liam Cooper,""7,00 mio. €"","
2020/2021,leeds-united,Oliver Casey,250 K €,
2020/2021,leeds-united,Charlie Cresswell,200 K €,
"2020/2021,leeds-united,Ezgjan Alioski,""5,00 mio. €"","
"2020/2021,leeds-united,Barry Douglas,""1,50 mio. €"","
2020/2021,leeds-united,Leif Davis,800 K €,
2020/2021,leeds-united,Niall Huggins,200 K €,
"2020/2021,leeds-united,Luke Ayling,""5,00 mio. €"","
"2020/2021,leeds-united,Jamie Shackleton,""2,50 mio. €"","
2020/2021,leeds-united,Gaetano Berardi,300 K €,
2020/2021,leeds-united,Cody Drameh,-,
"2020/2021,leeds-united,Kalvin Phillips,""30,00 mio. €"","
2020/2021,leeds-united,Ouasim Bouy,250 K €,
2020/2021,leeds-united,Jack Jenkins,150 K €,
2020/2021,leeds-united,Alfie McCalmont,-,
"2020/2021,leeds-united,Mateusz Klich,""4,00 mio. €"","
"2020/2021,leeds-united,Adam Forshaw,""2,00 mio. €"","
2020/2021,leeds-united,Robbie Gotts,250 K €,
2020/2021,leeds-united,Eunan O'Kane,200 K €,
"2020/2021,leeds-united,Stuart Dallas,""4,00 mio. €"","
"2020/2021,leeds-united,Mateusz Bogusz,""1,00 mio. €"","
2020/2021,leeds-united,Jordan Stevens,200 K €,
2020/2021,leeds-united,Sam Greenwood,200 K €,
"2020/2021,leeds-united,Raphinha,""30,00 mio. €"","
"2020/2021,leeds-united,Crysencio Summerville,""1,50 mio. €"","
"2020/2021,leeds-united,Jack Harrison,""15,00 mio. €"","
"2020/2021,leeds-united,Hélder Costa,""10,00 mio. €"","
"2020/2021,leeds-united,Ian Poveda,""1,50 mio. €"","
2020/2021,leeds-united,Pablo Hernández,800 K €,
"2020/2021,leeds-united,Patrick Bamford,""22,00 mio. €"","
"2020/2021,leeds-united,Rodrigo,""18,00 mio. €"","
"2020/2021,leeds-united,Tyler Roberts,""6,00 mio. €"","
"2020/2021,leeds-united,Joe Gelhardt,""1,30 mio. €"","
"2020/2021,crystal-palace,Jack Butland,""2,00 mio. €"","
"2020/2021,crystal-palace,Vicente Guaita,""2,00 mio. €"","
"2020/2021,crystal-palace,Wayne Hennessey,""1,00 mio. €"","
2020/2021,crystal-palace,Stephen Henderson,300 K €,
"2020/2021,crystal-palace,Mamadou Sakho,""6,00 mio. €"","
"2020/2021,crystal-palace,Nathan Ferguson,""4,00 mio. €"","
"2020/2021,crystal-palace,James Tomkins,""2,50 mio. €"","
"2020/2021,crystal-palace,Scott Dann,""1,50 mio. €"","
"2020/2021,crystal-palace,Gary Cahill,""1,50 mio. €"","
2020/2021,crystal-palace,Jaroslaw Jach,650 K €,
2020/2021,crystal-palace,Sam Woods,200 K €,
2020/2021,crystal-palace,Ryan Inniss,150 K €,
"2020/2021,crystal-palace,Patrick van Aanholt,""7,00 mio. €"","
"2020/2021,crystal-palace,Tyrick Mitchell,""7,00 mio. €"","
2020/2021,crystal-palace,Reece Hannam,-,
"2020/2021,crystal-palace,Nathaniel Clyne,""3,00 mio. €"","
"2020/2021,crystal-palace,Joel Ward,""2,50 mio. €"","
"2020/2021,crystal-palace,Martin Kelly,""1,50 mio. €"","
"2020/2021,crystal-palace,Luka Milivojevic,""8,00 mio. €"","
"2020/2021,crystal-palace,Jaïro Riedewald,""8,00 mio. €"","
"2020/2021,crystal-palace,Cheikhou Kouyaté,""6,00 mio. €"","
"2020/2021,crystal-palace,James McCarthy,""3,00 mio. €"","
"2020/2021,crystal-palace,James McArthur,""2,00 mio. €"","
2020/2021,crystal-palace,Nya Kirby,300 K €,
"2020/2021,crystal-palace,Jeffrey Schlupp,""9,00 mio. €"","
"2020/2021,crystal-palace,Eberechi Eze,""20,00 mio. €"","
"2020/2021,crystal-palace,Max Meyer,""1,50 mio. €"","
"2020/2021,crystal-palace,Wilfried Zaha,""45,00 mio. €"","
2020/2021,crystal-palace,Brandon Pierrick,250 K €,
"2020/2021,crystal-palace,Jordan Ayew,""8,00 mio. €"","
"2020/2021,crystal-palace,Andros Townsend,""7,00 mio. €"","
2020/2021,crystal-palace,Jesurun Rak-Sakyi,-,
"2020/2021,crystal-palace,Jean-Philippe Mateta,""13,00 mio. €"","
"2020/2021,crystal-palace,Michy Batshuayi,""10,00 mio. €"","
"2020/2021,crystal-palace,Christian Benteke,""9,00 mio. €"","
"2020/2021,crystal-palace,Connor Wickham,""1,00 mio. €"","
"2020/2021,sheffield-united,Aaron Ramsdale,""12,00 mio. €"","
2020/2021,sheffield-united,Michael Verrips,900 K €,
2020/2021,sheffield-united,Wes Foderingham,400 K €,
2020/2021,sheffield-united,Simon Moore,400 K €,
2020/2021,sheffield-united,Jake Eastwood,100 K €,
"2020/2021,sheffield-united,John Egan,""9,00 mio. €"","
"2020/2021,sheffield-united,Jack O'Connell,""5,00 mio. €"","
"2020/2021,sheffield-united,Chris Basham,""2,00 mio. €"","
"2020/2021,sheffield-united,Jack Robinson,""2,00 mio. €"","
"2020/2021,sheffield-united,Kean Bryan,""2,00 mio. €"","
2020/2021,sheffield-united,Jack Rodwell,800 K €,
2020/2021,sheffield-united,Phil Jagielka,250 K €,
2020/2021,sheffield-united,Kyron Gordon,250 K €,
"2020/2021,sheffield-united,Enda Stevens,""3,50 mio. €"","
"2020/2021,sheffield-united,Max Lowe,""3,00 mio. €"","
"2020/2021,sheffield-united,Rhys Norrington-Davies,""1,50 mio. €"","
2020/2021,sheffield-united,Harry Boyes,-,
"2020/2021,sheffield-united,Jayden Bogle,""7,00 mio. €"","
"2020/2021,sheffield-united,George Baldock,""5,00 mio. €"","
2020/2021,sheffield-united,Femi Seriki,200 K €,
"2020/2021,sheffield-united,Sander Berge,""18,00 mio. €"","
"2020/2021,sheffield-united,Ethan Ampadu,""15,00 mio. €"","
"2020/2021,sheffield-united,John Lundstram,""7,00 mio. €"","
"2020/2021,sheffield-united,John Fleck,""5,00 mio. €"","
"2020/2021,sheffield-united,Oliver Norwood,""5,00 mio. €"","
"2020/2021,sheffield-united,Ben Osborn,""2,00 mio. €"","
2020/2021,sheffield-united,Regan Slater,-,
2020/2021,sheffield-united,Frankie Maguire,-,
"2020/2021,sheffield-united,Luke Freeman,""2,00 mio. €"","
2020/2021,sheffield-united,Zak Brunt,250 K €,
2020/2021,sheffield-united,Iliman Ndiaye,200 K €,
"2020/2021,sheffield-united,Rhian Brewster,""12,00 mio. €"","
"2020/2021,sheffield-united,Oli McBurnie,""10,00 mio. €"","
"2020/2021,sheffield-united,Lys Mousset,""9,00 mio. €"","
"2020/2021,sheffield-united,Oliver Burke,""6,00 mio. €"","
"2020/2021,sheffield-united,David McGoldrick,""1,50 mio. €"","
"2020/2021,sheffield-united,Daniel Jebbison,""1,00 mio. €"","
2020/2021,sheffield-united,Billy Sharp,500 K €,
2020/2021,sheffield-united,Antwoine Hackford,100 K €,
2020/2021,sheffield-united,William Osula,-,
"2020/2021,west-bromwich-albion,Sam Johnstone,""8,00 mio. €"","
"2020/2021,west-bromwich-albion,David Button,""1,00 mio. €"","
2020/2021,west-bromwich-albion,Jonathan Bond,250 K €,
2020/2021,west-bromwich-albion,Alex Palmer,250 K €,
2020/2021,west-bromwich-albion,Andy Lonergan,250 K €,
"2020/2021,west-bromwich-albion,Semi Ajayi,""6,00 mio. €"","
"2020/2021,west-bromwich-albion,Ahmed Hegazy,""4,00 mio. €"","
"2020/2021,west-bromwich-albion,Dara O'Shea,""3,00 mio. €"","
"2020/2021,west-bromwich-albion,Kyle Bartley,""2,50 mio. €"","
"2020/2021,west-bromwich-albion,Cédric Kipré,""1,00 mio. €"","
2020/2021,west-bromwich-albion,Caleb Taylor,-,
"2020/2021,west-bromwich-albion,Kieran Gibbs,""2,50 mio. €"","
"2020/2021,west-bromwich-albion,Conor Townsend,""2,00 mio. €"","
2020/2021,west-bromwich-albion,George Harmon,-,
"2020/2021,west-bromwich-albion,Ainsley Maitland-Niles,""16,00 mio. €"","
"2020/2021,west-bromwich-albion,Darnell Furlong,""5,00 mio. €"","
2020/2021,west-bromwich-albion,Branislav Ivanovic,500 K €,
2020/2021,west-bromwich-albion,Lee Peltier,400 K €,
"2020/2021,west-bromwich-albion,Okay Yokuşlu,""7,50 mio. €"","
"2020/2021,west-bromwich-albion,Filip Krovinovic,""3,00 mio. €"","
"2020/2021,west-bromwich-albion,Jake Livermore,""2,50 mio. €"","
"2020/2021,west-bromwich-albion,Sam Field,""1,00 mio. €"","
"2020/2021,west-bromwich-albion,Conor Gallagher,""15,00 mio. €"","
"2020/2021,west-bromwich-albion,Rekeem Harper,""2,50 mio. €"","
"2020/2021,west-bromwich-albion,Romaine Sawyers,""2,00 mio. €"","
2020/2021,west-bromwich-albion,Taylor Gardner-Hickman,-,
2020/2021,west-bromwich-albion,Toby King,-,
2020/2021,west-bromwich-albion,Tim Iroegbunam,-,
"2020/2021,west-bromwich-albion,Matheus Pereira,""15,00 mio. €"","
2020/2021,west-bromwich-albion,Rico Richards,-,
"2020/2021,west-bromwich-albion,Kamil Grosicki,""1,00 mio. €"","
"2020/2021,west-bromwich-albion,Kyle Edwards,""1,00 mio. €"","
"2020/2021,west-bromwich-albion,Grady Diangana,""10,00 mio. €"","
"2020/2021,west-bromwich-albion,Matt Phillips,""4,00 mio. €"","
"2020/2021,west-bromwich-albion,Robert Snodgrass,""1,50 mio. €"","
"2020/2021,west-bromwich-albion,Karlan Grant,""8,00 mio. €"","
"2020/2021,west-bromwich-albion,Callum Robinson,""6,00 mio. €"","
"2020/2021,west-bromwich-albion,Mbaye Diagne,""3,00 mio. €"","
"2020/2021,west-bromwich-albion,Kenneth Zohore,""2,00 mio. €"","
"2020/2021,west-bromwich-albion,Charlie Austin,""2,00 mio. €"","
"2020/2021,west-bromwich-albion,Hal Robson-Kanu,""1,50 mio. €"","
2020/2021,west-bromwich-albion,Jamie Soule,-,
2020/2021,west-bromwich-albion,Cheikh Diaby,-,
"2020/2021,fc-burnley,Nick Pope,""15,00 mio. €"","
"2020/2021,fc-burnley,Bailey Peacock-Farrell,""1,00 mio. €"","
2020/2021,fc-burnley,Will Norris,400 K €,
"2020/2021,fc-burnley,James Tarkowski,""25,00 mio. €"","
"2020/2021,fc-burnley,Ben Gibson,""7,00 mio. €"","
"2020/2021,fc-burnley,Ben Mee,""6,00 mio. €"","
"2020/2021,fc-burnley,Erik Pieters,""1,50 mio. €"","
"2020/2021,fc-burnley,Kevin Long,""1,00 mio. €"","
2020/2021,fc-burnley,Jimmy Dunne,600 K €,
2020/2021,fc-burnley,Richard Nartey,200 K €,
2020/2021,fc-burnley,Bobby Thomas,200 K €,
"2020/2021,fc-burnley,Charlie Taylor,""4,00 mio. €"","
2020/2021,fc-burnley,Anthony Driscoll-Glennon,250 K €,
"2020/2021,fc-burnley,Matthew Lowton,""2,50 mio. €"","
2020/2021,fc-burnley,Phil Bardsley,300 K €,
"2020/2021,fc-burnley,Jack Cork,""5,00 mio. €"","
"2020/2021,fc-burnley,Ashley Westwood,""5,00 mio. €"","
"2020/2021,fc-burnley,Josh Brownhill,""7,00 mio. €"","
"2020/2021,fc-burnley,Dale Stephens,""2,50 mio. €"","
2020/2021,fc-burnley,Josh Benson,400 K €,
2020/2021,fc-burnley,Anthony Mancini,250 K €,
2020/2021,fc-burnley,Mace Goodridge,200 K €,
"2020/2021,fc-burnley,Robbie Brady,""3,00 mio. €"","
"2020/2021,fc-burnley,Dwight McNeil,""22,00 mio. €"","
2020/2021,fc-burnley,Lewis Richardson,200 K €,
"2020/2021,fc-burnley,Jóhann Berg Gudmundsson,""3,00 mio. €"","
2020/2021,fc-burnley,Max Thompson,-,
"2020/2021,fc-burnley,Chris Wood,""8,00 mio. €"","
"2020/2021,fc-burnley,Jay Rodríguez,""4,00 mio. €"","
"2020/2021,fc-burnley,Ashley Barnes,""3,50 mio. €"","
"2020/2021,fc-burnley,Matej Vydra,""3,00 mio. €"","
2020/2021,fc-burnley,Joel Mumbongo,300 K €,
