nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
FRA,"MF,DF",19,2002,16.1,2,10,4,40.0,0.62,0.25,0.2,0.5,14.0,0,0,0,1.1,1.1,0.11,0.9,0.9,FRA-Ligue 1,2022,shooting
FRA,DF,32,1989,37.0,0,17,6,35.3,0.46,0.16,0.0,0.0,18.3,0,0,0,1.2,1.2,0.07,-1.2,-1.2,FRA-Ligue 1,2022,shooting
ITA,GK,34,1988,17.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,"FW,MF",20,2002,12.1,1,26,9,34.6,2.15,0.74,0.04,0.11,20.3,0,0,0,1.5,1.5,0.06,-0.5,-0.5,FRA-Ligue 1,2022,shooting
SUI,GK,28,1994,20.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,FW,31,1991,32.5,27,107,47,43.9,3.29,1.44,0.2,0.45,14.4,8,6,8,24.2,17.9,0.17,2.8,3.1,FRA-Ligue 1,2022,shooting
SWE,FW,21,2001,6.0,1,6,5,83.3,1.01,0.84,0.17,0.2,12.7,0,0,0,1.2,1.2,0.2,-0.2,-0.2,FRA-Ligue 1,2022,shooting
POR,GK,31,1990,31.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,"FW,MF",19,2002,16.0,5,27,13,48.1,1.69,0.81,0.19,0.38,13.6,0,0,0,3.4,3.4,0.13,1.6,1.6,FRA-Ligue 1,2022,shooting
FRA,DF,19,2002,33.2,2,13,5,38.5,0.39,0.15,0.15,0.4,10.2,0,0,0,1.2,1.2,0.09,0.8,0.8,FRA-Ligue 1,2022,shooting
FRA,MF,27,1994,22.6,1,30,9,30.0,1.33,0.4,0.03,0.11,23.0,0,0,0,1.7,1.7,0.06,-0.7,-0.7,FRA-Ligue 1,2022,shooting
FRA,DF,34,1988,3.8,0,2,0,0.0,0.53,0.0,0.0,,13.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,FRA-Ligue 1,2022,shooting
CRO,DF,33,1989,16.2,1,13,3,23.1,0.8,0.19,0.08,0.33,12.5,1,0,0,0.8,0.8,0.06,0.2,0.2,FRA-Ligue 1,2022,shooting
BRA,"DF,FW",28,1994,4.0,0,1,0,0.0,0.25,0.0,0.0,,27.6,0,0,0,0.0,0.0,0.03,0.0,0.0,FRA-Ligue 1,2022,shooting
ALG,MF,24,1998,5.8,1,14,6,42.9,2.4,1.03,0.07,0.17,15.1,0,0,0,1.4,1.4,0.11,-0.4,-0.4,FRA-Ligue 1,2022,shooting
FRA,MF,24,1998,3.7,0,10,7,70.0,2.68,1.87,0.0,0.0,20.0,0,0,0,0.8,0.8,0.08,-0.8,-0.8,FRA-Ligue 1,2022,shooting
BRA,FW,22,1999,5.0,1,10,5,50.0,2.02,1.01,0.1,0.2,15.7,0,0,0,1.1,1.1,0.11,-0.1,-0.1,FRA-Ligue 1,2022,shooting
FRA,MF,19,2002,21.5,1,19,1,5.3,0.88,0.05,0.05,1.0,23.8,0,0,0,0.9,0.9,0.05,0.1,0.1,FRA-Ligue 1,2022,shooting
GER,DF,33,1988,4.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
CMR,"FW,MF",29,1992,15.0,4,41,19,46.3,2.73,1.26,0.1,0.21,14.7,0,0,0,4.4,4.4,0.11,-0.4,-0.4,FRA-Ligue 1,2022,shooting
BRA,MF,24,1997,1.8,0,5,1,20.0,2.83,0.57,0.0,0.0,15.1,0,0,0,0.4,0.4,0.07,-0.4,-0.4,FRA-Ligue 1,2022,shooting
FRA,DF,19,2003,17.7,0,7,3,42.9,0.39,0.17,0.0,0.0,20.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,FRA-Ligue 1,2022,shooting
FRA,MF,16,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,MF,22,2000,30.7,4,26,13,50.0,0.85,0.42,0.15,0.31,19.1,3,0,0,2.6,2.6,0.1,1.4,1.4,FRA-Ligue 1,2022,shooting
FRA,MF,18,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,"FW,MF",26,1996,9.7,3,28,13,46.4,2.87,1.33,0.11,0.23,13.3,0,0,0,3.8,3.8,0.14,-0.8,-0.8,FRA-Ligue 1,2022,shooting
ARG,DF,29,1992,33.2,1,23,5,21.7,0.69,0.15,0.04,0.2,16.8,0,0,0,2.4,1.9,0.08,-1.4,-0.9,FRA-Ligue 1,2022,shooting
FRA,"MF,FW",18,2003,20.8,4,61,21,34.4,2.93,1.01,0.07,0.19,18.7,3,0,0,4.9,4.9,0.08,-0.9,-0.9,FRA-Ligue 1,2022,shooting
FRA,MF,24,1998,3.3,0,5,2,40.0,1.5,0.6,0.0,0.0,23.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,FRA-Ligue 1,2022,shooting
FRA,GK,34,1987,6.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,DF,17,2005,14.7,0,9,2,22.2,0.61,0.14,0.0,0.0,21.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,FRA-Ligue 1,2022,shooting
CIV,DF,21,2001,21.7,0,10,2,20.0,0.46,0.09,0.0,0.0,12.6,0,0,0,0.8,0.8,0.08,-0.8,-0.8,FRA-Ligue 1,2022,shooting
BRA,"FW,MF",22,2000,12.3,6,30,13,43.3,2.44,1.06,0.2,0.46,16.5,1,0,0,4.2,4.2,0.14,1.8,1.8,FRA-Ligue 1,2022,shooting
BRA,"MF,DF",30,1992,22.9,1,14,4,28.6,0.61,0.17,0.07,0.25,25.1,2,0,0,0.7,0.7,0.05,0.3,0.3,FRA-Ligue 1,2022,shooting
CHI,"FW,MF",33,1988,29.8,14,63,29,46.0,2.12,0.97,0.19,0.41,15.2,5,2,3,12.6,10.2,0.17,1.4,1.8,FRA-Ligue 1,2022,shooting
MAR,"MF,FW",25,1997,5.7,0,6,3,50.0,1.05,0.52,0.0,0.0,18.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5,FRA-Ligue 1,2022,shooting
POL,FW,28,1994,1.4,0,1,0,0.0,0.7,0.0,0.0,,7.8,0,0,0,0.1,0.1,0.14,-0.1,-0.1,FRA-Ligue 1,2022,shooting
MAR,"MF,FW",22,2000,1.3,1,3,2,66.7,2.23,1.49,0.33,0.5,21.0,1,0,0,0.7,0.7,0.22,0.3,0.3,FRA-Ligue 1,2022,shooting
SEN,"FW,MF",22,2000,2.2,1,11,5,45.5,5.1,2.32,0.09,0.2,12.5,0,0,0,1.5,1.5,0.14,-0.5,-0.5,FRA-Ligue 1,2022,shooting
TUR,"MF,DF",25,1997,27.7,5,70,23,32.9,2.53,0.83,0.06,0.17,17.1,2,1,1,8.3,7.5,0.11,-3.3,-3.5,FRA-Ligue 1,2022,shooting
COD,DF,27,1994,31.7,5,27,9,33.3,0.85,0.28,0.19,0.56,11.0,0,0,0,3.1,3.1,0.11,1.9,1.9,FRA-Ligue 1,2022,shooting
COD,MF,31,1991,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,"MF,FW",35,1987,9.3,4,27,7,25.9,2.91,0.75,0.11,0.43,20.6,1,1,1,3.0,2.2,0.08,1.0,0.8,FRA-Ligue 1,2022,shooting
CRO,DF,25,1996,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
CIV,DF,28,1994,6.0,0,3,0,0.0,0.5,0.0,0.0,,13.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,FRA-Ligue 1,2022,shooting
CMR,MF,18,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
BRA,MF,25,1997,4.6,2,9,6,66.7,1.94,1.29,0.22,0.33,15.8,0,0,0,0.8,0.8,0.09,1.2,1.2,FRA-Ligue 1,2022,shooting
BFA,DF,21,2001,11.4,1,8,3,37.5,0.7,0.26,0.13,0.33,16.2,0,0,0,0.9,0.9,0.11,0.1,0.1,FRA-Ligue 1,2022,shooting
FRA,DF,29,1992,28.8,2,48,12,25.0,1.67,0.42,0.04,0.17,17.5,0,0,0,4.2,4.2,0.09,-2.2,-2.2,FRA-Ligue 1,2022,shooting
FRA,MF,29,1993,31.8,4,30,9,30.0,0.94,0.28,0.1,0.33,20.5,1,1,1,3.9,3.1,0.1,0.1,-0.1,FRA-Ligue 1,2022,shooting
ARG,DF,23,1999,29.3,0,11,0,0.0,0.38,0.0,0.0,,10.2,0,0,0,1.3,1.3,0.12,-1.3,-1.3,FRA-Ligue 1,2022,shooting
COL,FW,24,1997,3.3,3,16,7,43.8,4.91,2.15,0.19,0.43,12.6,0,0,0,2.4,2.4,0.15,0.6,0.6,FRA-Ligue 1,2022,shooting
FRA,MF,23,1999,23.4,2,24,5,20.8,1.02,0.21,0.04,0.2,16.4,0,1,1,3.3,2.5,0.11,-1.3,-1.5,FRA-Ligue 1,2022,shooting
POR,"DF,MF",22,2000,26.1,6,65,17,26.2,2.49,0.65,0.09,0.35,19.4,0,0,0,4.5,4.5,0.07,1.5,1.5,FRA-Ligue 1,2022,shooting
SEN,"MF,DF",23,1999,5.5,1,8,4,50.0,1.46,0.73,0.13,0.25,16.8,0,0,0,0.7,0.7,0.09,0.3,0.3,FRA-Ligue 1,2022,shooting
ESP,GK,27,1994,32.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
ESP,GK,27,1995,5.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
UKR,"MF,FW",29,1993,13.6,1,35,7,20.0,2.57,0.51,0.03,0.14,24.3,6,0,0,2.3,2.3,0.06,-1.3,-1.3,FRA-Ligue 1,2022,shooting
FRA,MF,19,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,DF,28,1993,20.9,2,12,3,25.0,0.57,0.14,0.17,0.67,8.0,0,0,0,2.6,2.6,0.21,-0.6,-0.6,FRA-Ligue 1,2022,shooting
BIH,DF,29,1993,24.6,4,22,9,40.9,0.89,0.37,0.18,0.44,9.7,0,0,0,4.1,4.1,0.19,-0.1,-0.1,FRA-Ligue 1,2022,shooting
FRA,DF,19,2003,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,MF,27,1994,33.7,1,22,4,18.2,0.65,0.12,0.05,0.25,20.0,0,0,0,1.7,1.7,0.08,-0.7,-0.7,FRA-Ligue 1,2022,shooting
POR,FW,22,2000,5.2,2,25,9,36.0,4.85,1.75,0.08,0.22,12.6,0,0,0,4.0,4.0,0.16,-2.0,-2.0,FRA-Ligue 1,2022,shooting
RUS,"MF,FW",26,1996,27.4,8,49,25,51.0,1.79,0.91,0.16,0.32,19.0,2,0,0,5.3,5.3,0.11,2.7,2.7,FRA-Ligue 1,2022,shooting
GER,GK,25,1996,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,DF,24,1998,37.0,3,28,9,32.1,0.76,0.24,0.11,0.33,15.4,0,0,1,3.8,3.0,0.11,-0.8,0.0,FRA-Ligue 1,2022,shooting
FRA,DF,21,2001,9.3,2,5,3,60.0,0.54,0.32,0.4,0.67,16.0,0,0,0,0.6,0.6,0.13,1.4,1.4,FRA-Ligue 1,2022,shooting
SUI,FW,25,1997,20.7,12,40,20,50.0,1.94,0.97,0.3,0.6,10.9,0,0,1,8.5,7.6,0.19,3.5,4.4,FRA-Ligue 1,2022,shooting
BRA,DF,25,1997,32.2,1,10,6,60.0,0.31,0.19,0.1,0.17,21.1,2,0,0,0.7,0.7,0.07,0.3,0.3,FRA-Ligue 1,2022,shooting
FRA,DF,20,2002,5.0,0,3,2,66.7,0.61,0.4,0.0,0.0,8.0,0,0,0,0.7,0.7,0.22,-0.7,-0.7,FRA-Ligue 1,2022,shooting
FRA,"DF,FW",17,2004,2.5,1,6,2,33.3,2.42,0.81,0.17,0.5,15.6,0,0,0,1.2,1.2,0.2,-0.2,-0.2,FRA-Ligue 1,2022,shooting
MAR,"FW,MF",17,2005,11.7,4,21,8,38.1,1.8,0.68,0.19,0.5,18.6,0,0,0,1.9,1.9,0.09,2.1,2.1,FRA-Ligue 1,2022,shooting
BEL,MF,20,2002,13.1,1,4,3,75.0,0.31,0.23,0.25,0.33,22.9,0,0,0,0.2,0.2,0.05,0.8,0.8,FRA-Ligue 1,2022,shooting
POR,"MF,FW",27,1995,3.8,0,12,3,25.0,3.13,0.78,0.0,0.0,15.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,FRA-Ligue 1,2022,shooting
CHI,DF,28,1994,24.0,3,16,6,37.5,0.67,0.25,0.19,0.5,10.7,0,0,0,1.6,1.6,0.1,1.4,1.4,FRA-Ligue 1,2022,shooting
SEN,"DF,FW",22,1999,12.4,0,14,6,42.9,1.13,0.48,0.0,0.0,15.2,1,0,0,1.0,1.0,0.07,-1.0,-1.0,FRA-Ligue 1,2022,shooting
BRA,MF,24,1998,3.2,0,5,3,60.0,1.55,0.93,0.0,0.0,18.3,0,0,0,0.6,0.6,0.12,-0.6,-0.6,FRA-Ligue 1,2022,shooting
GER,"FW,MF",30,1992,7.1,3,15,7,46.7,2.11,0.99,0.2,0.43,15.6,0,0,0,1.7,1.7,0.12,1.3,1.3,FRA-Ligue 1,2022,shooting
SEN,"MF,FW",23,1999,23.0,4,40,18,45.0,1.74,0.78,0.1,0.22,15.2,0,0,0,4.6,4.6,0.12,-0.6,-0.6,FRA-Ligue 1,2022,shooting
FRA,"MF,FW",20,2002,4.5,0,5,2,40.0,1.12,0.45,0.0,0.0,14.9,0,0,0,0.5,0.5,0.09,-0.5,-0.5,FRA-Ligue 1,2022,shooting
FRA,DF,23,1999,8.0,0,1,0,0.0,0.13,0.0,0.0,,12.5,0,0,0,0.0,0.0,0.02,0.0,0.0,FRA-Ligue 1,2022,shooting
MLI,MF,22,2000,24.4,0,27,6,22.2,1.11,0.25,0.0,0.0,28.4,0,0,0,1.0,1.0,0.04,-1.0,-1.0,FRA-Ligue 1,2022,shooting
NED,FW,21,2001,3.3,3,7,5,71.4,2.14,1.53,0.43,0.6,11.5,0,0,0,2.6,2.6,0.37,0.4,0.4,FRA-Ligue 1,2022,shooting
FRA,DF,29,1993,13.0,0,4,2,50.0,0.31,0.15,0.0,0.0,17.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,FRA-Ligue 1,2022,shooting
FRA,MF,22,2000,0.7,1,2,1,50.0,2.77,1.38,0.5,1.0,10.5,0,0,0,1.0,1.0,0.5,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,MF,18,2003,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
JPN,"MF,FW",27,1995,8.0,1,22,8,36.4,2.73,0.99,0.05,0.13,16.4,1,0,0,1.9,1.9,0.08,-0.9,-0.9,FRA-Ligue 1,2022,shooting
BRA,"DF,MF",21,2001,24.6,1,26,8,30.8,1.06,0.33,0.04,0.13,19.5,0,0,0,2.4,2.4,0.09,-1.4,-1.4,FRA-Ligue 1,2022,shooting
FRA,FW,31,1990,23.5,19,66,36,54.5,2.81,1.53,0.21,0.39,14.2,3,5,6,17.4,12.7,0.19,1.6,1.3,FRA-Ligue 1,2022,shooting
FRA,MF,23,1999,34.3,2,42,10,23.8,1.22,0.29,0.05,0.2,22.9,1,0,0,2.8,2.8,0.07,-0.8,-0.8,FRA-Ligue 1,2022,shooting
FRA,FW,24,1998,26.7,9,59,24,40.7,2.21,0.9,0.15,0.38,16.1,0,0,0,6.5,6.5,0.11,2.5,2.5,FRA-Ligue 1,2022,shooting
FRA,"DF,FW",30,1992,4.0,0,1,0,0.0,0.25,0.0,0.0,,20.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,FRA-Ligue 1,2022,shooting
FRA,"FW,MF",17,2005,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,GK,31,1991,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
SEN,GK,25,1996,4.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
MLI,DF,25,1997,14.0,0,11,3,27.3,0.79,0.21,0.0,0.0,11.5,0,0,0,0.7,0.7,0.06,-0.7,-0.7,FRA-Ligue 1,2022,shooting
CGO,"FW,MF",19,2002,2.2,0,6,1,16.7,2.73,0.45,0.0,0.0,13.9,0,0,0,0.8,0.8,0.14,-0.8,-0.8,FRA-Ligue 1,2022,shooting
SEN,FW,23,1999,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,DF,29,1993,29.9,0,17,2,11.8,0.57,0.07,0.0,0.0,8.6,0,0,0,2.0,2.0,0.12,-2.0,-2.0,FRA-Ligue 1,2022,shooting
FRA,FW,19,2003,27.9,19,62,36,58.1,2.22,1.29,0.29,0.5,14.5,1,1,1,12.2,11.4,0.18,6.8,6.6,FRA-Ligue 1,2022,shooting
CMR,DF,19,2002,12.2,1,4,2,50.0,0.33,0.16,0.25,0.5,18.8,0,0,0,0.4,0.4,0.09,0.6,0.6,FRA-Ligue 1,2022,shooting
FRA,"FW,DF",24,1998,21.4,5,34,12,35.3,1.59,0.56,0.15,0.42,20.1,1,0,0,3.3,3.3,0.1,1.7,1.7,FRA-Ligue 1,2022,shooting
MLI,DF,27,1995,28.7,1,6,2,33.3,0.21,0.07,0.17,0.5,16.7,0,0,0,0.8,0.8,0.13,0.2,0.2,FRA-Ligue 1,2022,shooting
GUI,DF,28,1994,14.5,1,10,1,10.0,0.69,0.07,0.1,1.0,14.8,0,0,0,0.8,0.8,0.08,0.2,0.2,FRA-Ligue 1,2022,shooting
SUI,GK,28,1994,13.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,MF,30,1992,30.4,1,14,2,14.3,0.46,0.07,0.07,0.5,24.1,0,0,0,0.8,0.8,0.06,0.2,0.2,FRA-Ligue 1,2022,shooting
FRA,MF,20,2001,27.3,0,12,1,8.3,0.44,0.04,0.0,0.0,27.2,0,0,0,0.6,0.6,0.05,-0.6,-0.6,FRA-Ligue 1,2022,shooting
FRA,MF,18,2004,8.0,0,8,3,37.5,1.0,0.38,0.0,0.0,21.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5,FRA-Ligue 1,2022,shooting
FRA,MF,22,2000,13.2,0,18,6,33.3,1.36,0.45,0.0,0.0,20.6,1,0,0,1.1,1.1,0.06,-1.1,-1.1,FRA-Ligue 1,2022,shooting
FRA,DF,32,1990,8.5,1,3,2,66.7,0.35,0.24,0.33,0.5,6.1,0,0,0,0.5,0.5,0.18,0.5,0.5,FRA-Ligue 1,2022,shooting
POR,GK,23,1999,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,DF,20,2002,18.3,0,6,0,0.0,0.33,0.0,0.0,,9.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6,FRA-Ligue 1,2022,shooting
FRA,DF,23,1999,14.2,2,7,4,57.1,0.49,0.28,0.29,0.5,10.0,0,0,0,1.4,1.4,0.2,0.6,0.6,FRA-Ligue 1,2022,shooting
POR,DF,31,1990,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,"FW,MF",20,2002,0.2,1,2,1,50.0,9.0,4.5,0.5,1.0,20.4,0,0,0,0.1,0.1,0.03,0.9,0.9,FRA-Ligue 1,2022,shooting
ENG,FW,24,1998,14.3,4,37,15,40.5,2.59,1.05,0.11,0.27,16.8,0,0,0,4.3,4.3,0.12,-0.3,-0.3,FRA-Ligue 1,2022,shooting
FRA,DF,21,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
FRA,DF,23,1998,5.9,1,3,2,66.7,0.51,0.34,0.33,0.5,20.5,0,0,0,0.4,0.4,0.14,0.6,0.6,FRA-Ligue 1,2022,shooting
FRA,MF,30,1991,28.3,12,58,24,41.4,2.05,0.85,0.1,0.25,27.0,19,6,6,8.6,3.8,0.07,3.4,2.2,FRA-Ligue 1,2022,shooting
FRA,"FW,MF",32,1990,7.6,2,19,6,31.6,2.49,0.78,0.11,0.33,12.7,0,0,0,2.5,2.5,0.13,-0.5,-0.5,FRA-Ligue 1,2022,shooting
TUN,"FW,MF",31,1991,18.2,4,38,16,42.1,2.09,0.88,0.11,0.25,22.2,0,0,0,4.1,4.1,0.11,-0.1,-0.1,FRA-Ligue 1,2022,shooting
